Business Name,Postcode,Phone Number,Social Media,Mon,Tue,Wed,Thu,Fri,Sat,Sun
cafe nero ,WC1V16QL,0272429139,N/A,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,9AM-7PM,Closed
costa coffee,WC1V7DZ,03330035883,N/A,6AM-7PM,6AM-7PM,6AM-7PM,6AM-7PM,7AM-6PM,7AM-6PM,7AM-6PM
starbucks,WC1V6BX,N/A,N/A,6AM-7PM,6AM-7PM,6AM-7PM,6AM-7PM,6AM-7PM,7AM-7PM,Closed
pret a manager,WC1V7DN,02079325231,N/A,630AM-84PM,630AM-4PM,630AM-4PM,630AM-4PM,630AM-4PM,630AM-4PM,630AM-4PM
Fabrique,WC1V7EW,0278310925,FABRIQUE.CO.UK,7AM-6PM,7AM-6PM,7AM-6PM,7AM-6PM,7AM-6PM,9AM-5PM,9AM-5PM
